,date,stock_id,trading_volume,trading_money,open,max,min,close,spread,trading_turnover
0,2023-01-03,00878,46441882,748965134,16.15,16.24,16.04,16.18,0.01,24662
1,2023-01-04,00878,21230742,344292416,16.18,16.26,16.17,16.23,0.05,9145
2,2023-01-05,00878,23836104,388880589,16.28,16.36,16.28,16.32,0.09,12563
3,2023-01-06,00878,29339092,480717755,16.32,16.43,16.32,16.41,0.09,15764
4,2023-01-09,00878,68223833,1132226721,16.56,16.66,16.51,16.66,0.25,25115
5,2023-01-10,00878,40048366,666830678,16.66,16.69,16.6,16.68,0.02,19776
6,2023-01-11,00878,23056571,384041293,16.7,16.72,16.62,16.67,-0.01,13848
7,2023-01-12,00878,34653907,575640392,16.69,16.69,16.57,16.59,-0.08,21103
8,2023-01-13,00878,33124175,551485569,16.66,16.71,16.61,16.62,0.03,16084
9,2023-01-16,00878,45649229,762382974,16.64,16.74,16.63,16.7,0.08,22079
10,2023-01-17,00878,31884754,532899715,16.74,16.74,16.68,16.72,0.02,15353
11,2023-01-30,00878,89249860,1514536238,16.93,17.06,16.9,17.01,0.29,37597
12,2023-01-31,00878,71900204,1220039195,17.01,17.03,16.88,16.88,-0.13,36821
13,2023-02-01,00878,45945962,778046499,16.95,17.0,16.89,17.0,0.12,19818
14,2023-02-02,00878,92709193,1583456677,17.13,17.13,17.0,17.12,0.12,31765
15,2023-02-03,00878,80667431,1378671463,17.13,17.13,17.03,17.1,-0.02,35938
16,2023-02-06,00878,129787412,2214858817,17.09,17.11,17.03,17.05,-0.05,59513
17,2023-02-07,00878,72866010,1243726158,17.06,17.1,17.04,17.06,0.01,26913
18,2023-02-08,00878,58317896,999685013,17.12,17.16,17.1,17.15,0.09,20486
19,2023-02-09,00878,74027615,1266884128,17.1,17.13,17.09,17.11,-0.04,26992
20,2023-02-10,00878,123876642,2115195314,17.11,17.11,17.02,17.06,-0.05,52196
21,2023-02-13,00878,119482054,2039298259,17.08,17.16,17.0,17.12,0.06,42642
22,2023-02-14,00878,99701236,1718054178,17.16,17.26,17.16,17.24,0.12,29244
23,2023-02-15,00878,199715954,3432611569,17.24,17.24,17.15,17.16,-0.08,70752
24,2023-02-16,00878,145267925,2474017972,16.97,17.1,16.96,17.03,0.0,65093
25,2023-02-17,00878,92788907,1578667097,17.0,17.05,16.99,17.04,0.01,42323
26,2023-02-20,00878,53874215,921901044,17.07,17.15,17.04,17.13,0.09,22126
27,2023-02-21,00878,39502045,676243024,17.13,17.14,17.1,17.12,-0.01,20222
28,2023-02-22,00878,121421003,2065433743,17.01,17.09,16.97,17.06,-0.06,54812
